Academic Year,Scholarship Name,Sector Type,TAP Sector Group,TAP College Code,Federal School Code,TAP College Name,Scholarship Headcount,Scholarship Dollars
2019,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1409,7273,CUNY BARUCH COLLEGE,718,2492711
2019,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1410,2687,CUNY BROOKLYN COLLEGE,564,2754880
2019,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1411,2688,CUNY CITY COLLEGE,494,1985629
2019,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1417,2698,CUNY COL STATEN ISLAND,351,1009552
2019,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1412,7022,CUNY HERBERT H LEHMAN COLLEGE,350,1325146
2019,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1413,2689,CUNY HUNTER COLLEGE,915,3266903
2019,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1414,2693,CUNY JOHN JAY COLLEGE,598,2235966
2019,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1415,10097,CUNY MEDGER EVERS COLLEGE,44,164898
2019,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1405,2696,CUNY NYC COLLEGE OF TECHNOLOGY,253,796609
2019,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1416,2690,CUNY QUEENS COLLEGE,729,3028712
2019,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1418,4759,CUNY YORK COLLEGE,210,724810
2019,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1400,2692,CUNY BRONX CC,9,33953
2019,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1401,8611,CUNY HOSTOS CC,16,38008
2019,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1402,2694,CUNY KINGSBOROUGH CC,45,139761
2019,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1403,10051,CUNY LAGUARDIA CC,36,91090
2019,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1404,2691,CUNY MANHATTAN CC,110,302709
2019,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1407,2697,CUNY QUEENSBOROUGH CC,100,295838
2019,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1421,42101,STELLA & CHARLES GUTTMAN CC,39,115238
2019,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,174,2711,CORNELL UNIV STATUTORY COLLEGES,18,69289
2019,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,3030,2859,MORRISVILLE STATE COLLEGE,148,606473
2019,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,6030,2859,MORRISVILLE STATE COLLEGE,95,408980
2019,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,900,2841,SUC BROCKPORT (UNDERGRAD),1160,5197576
